date,age,confirmed_cases_total,confirmed_cases_percent,deaths_total,deaths_percent
11/23/21,70-74,115101,0.024,8480,0.116
11/23/21,75-79,76155,0.016,8583,0.117
11/23/21,80+,127465,0.027,27011,0.368
11/17/21,0-4,124858,0.026,12,0
11/17/21,17-May,588265,0.124,27,0
11/17/21,18-34,1573191,0.331,1208,0.017
11/17/21,35-49,1119379,0.236,4604,0.063
11/17/21,50-59,625755,0.132,8376,0.115
11/17/21,60-64,237611,0.05,6974,0.096
11/17/21,65-69,164270,0.035,7835,0.108
11/17/21,70-74,114468,0.024,8404,0.115
11/17/21,75-79,75737,0.016,8530,0.117
11/17/21,80+,126846,0.027,26871,0.369
11/10/21,0-4,123700,0.026,11,0
11/10/21,17-May,581728,0.123,27,0
11/10/21,18-34,1563703,0.331,1200,0.017
11/10/21,35-49,1111943,0.236,4549,0.063
11/10/21,50-59,621904,0.132,8289,0.115
11/10/21,60-64,235937,0.05,6907,0.096
11/10/21,65-69,163176,0.035,7769,0.107
11/10/21,70-74,113639,0.024,8345,0.115
11/10/21,75-79,75204,0.016,8447,0.117
11/10/21,80+,126078,0.027,26738,0.37
11/3/21,0-4,122281,0.026,11,0
11/3/21,17-May,573659,0.123,27,0
11/3/21,18-34,1552758,0.332,1187,0.017
11/3/21,35-49,1102934,0.236,4475,0.062
11/3/21,50-59,617471,0.132,8214,0.114
11/3/21,60-64,234115,0.05,6855,0.096
11/3/21,65-69,161963,0.035,7717,0.108
11/3/21,70-74,112711,0.024,8275,0.115
11/3/21,75-79,74595,0.016,8385,0.117
11/3/21,80+,125199,0.027,26606,0.371
10/27/21,0-4,120899,0.026,11,0
10/27/21,17-May,565915,0.122,26,0
10/27/21,18-34,1541780,0.332,1175,0.016
10/27/21,35-49,1093966,0.236,4428,0.062
10/27/21,50-59,612885,0.132,8131,0.114
10/27/21,60-64,232140,0.05,6808,0.095
10/27/21,65-69,160534,0.035,7681,0.108
10/27/21,70-74,111632,0.024,8243,0.115
10/27/21,75-79,73960,0.016,8361,0.117
10/27/21,80+,124189,0.027,26537,0.372
10/20/21,0-4,120671,0.026,11,0
10/20/21,17-May,559596,0.122,26,0
10/20/21,18-34,1531823,0.333,1159,0.016
10/20/21,35-49,1083961,0.236,4349,0.061
10/20/21,50-59,607722,0.132,8034,0.114
10/20/21,60-64,229660,0.05,6738,0.095
10/20/21,65-69,158593,0.034,7617,0.108
10/20/21,70-74,110299,0.024,8158,0.115
10/20/21,75-79,73005,0.016,8291,0.117
10/20/21,80+,122590,0.027,26351,0.372
10/13/21,0-4,119393,0.026,11,0
10/13/21,17-May,552330,0.121,26,0
10/13/21,18-34,1522693,0.334,1133,0.016
10/13/21,35-49,1075917,0.236,4261,0.061
10/13/21,50-59,603657,0.132,7913,0.113
10/13/21,60-64,227894,0.05,6653,0.095
10/13/21,65-69,157277,0.034,7522,0.107
10/13/21,70-74,109379,0.024,8077,0.115
10/13/21,75-79,72392,0.016,8225,0.117
10/13/21,80+,121787,0.027,26182,0.374
10/6/21,0-4,118074,0.026,11,0
10/6/21,17-May,545040,0.12,26,0
10/6/21,18-34,1512991,0.334,1115,0.016
10/6/21,35-49,1067931,0.236,4179,0.06
10/6/21,50-59,599491,0.132,7794,0.112
10/6/21,60-64,226187,0.05,6569,0.095
10/6/21,65-69,155979,0.034,7449,0.107
10/6/21,70-74,108482,0.024,8016,0.116
10/6/21,75-79,71731,0.016,8144,0.117
10/6/21,80+,121024,0.027,26041,0.375
9/29/21,0-4,116585,0.026,11,0
9/29/21,17-May,536720,0.12,26,0
9/29/21,18-34,1501442,0.334,1096,0.016
9/29/21,35-49,1058972,0.236,4089,0.06
9/29/21,50-59,594956,0.133,7676,0.112
9/29/21,60-64,224259,0.05,6484,0.094
9/29/21,65-69,154542,0.034,7363,0.107
9/29/21,70-74,107526,0.024,7943,0.116
9/29/21,75-79,71056,0.016,8085,0.118
9/29/21,80+,120183,0.027,25889,0.377
9/22/21,0-4,114772,0.026,10,0
9/22/21,17-May,527125,0.119,25,0
9/22/21,18-34,1487820,0.335,1079,0.016
9/22/21,35-49,1048488,0.236,3995,0.059
9/22/21,50-59,589710,0.133,7558,0.111
9/22/21,60-64,222064,0.05,6380,0.094
9/22/21,65-69,152958,0.034,7288,0.107
9/22/21,70-74,106382,0.024,7855,0.116
9/22/21,75-79,70310,0.016,8008,0.118
9/22/21,80+,119196,0.027,25723,0.379
9/15/21,0-4,112773,0.026,10,0
9/15/21,17-May,516017,0.118,25,0
9/15/21,18-34,1472590,0.336,1056,0.016
9/15/21,35-49,1036531,0.236,3891,0.058
9/15/21,50-59,583872,0.133,7434,0.111
9/15/21,60-64,219656,0.05,6294,0.094
9/15/21,65-69,151219,0.034,7195,0.107
9/15/21,70-74,105087,0.024,7791,0.116
9/15/21,75-79,69516,0.016,7932,0.118
9/15/21,80+,118146,0.027,25552,0.38
9/8/21,0-4,110301,0.026,9,0
9/8/21,17-May,502012,0.116,24,0
9/8/21,18-34,1453419,0.336,1023,0.015
9/8/21,35-49,1021973,0.236,3775,0.057
9/8/21,50-59,576821,0.133,7284,0.11
9/8/21,60-64,216908,0.05,6189,0.093
9/8/21,65-69,149272,0.035,7092,0.107
9/8/21,70-74,103631,0.024,7689,0.116
9/8/21,75-79,68650,0.016,7840,0.118
9/8/21,80+,116913,0.027,25325,0.382
9/1/21,0-4,107700,0.025,9,0
9/1/21,17-May,487523,0.115,24,0
9/1/21,18-34,1434406,0.337,1000,0.015
9/1/21,35-49,1007454,0.237,3692,0.056
9/1/21,50-59,569709,0.134,7169,0.109
9/1/21,60-64,214144,0.05,6100,0.093
9/1/21,65-69,147338,0.035,7020,0.107
9/1/21,70-74,102174,0.024,7615,0.116
9/1/21,75-79,67735,0.016,7769,0.118
9/1/21,80+,115599,0.027,25180,0.384
8/25/21,0-4,103788,0.025,8,0
8/25/21,17-May,467048,0.112,24,0
8/25/21,18-34,1405499,0.338,973,0.015
8/25/21,35-49,985380,0.237,3618,0.056
8/25/21,50-59,559066,0.134,7034,0.108
8/25/21,60-64,209773,0.05,6022,0.093
8/25/21,65-69,144352,0.035,6948,0.107
8/25/21,70-74,99970,0.024,7552,0.116
8/25/21,75-79,66314,0.016,7709,0.119
8/25/21,80+,113709,0.027,25035,0.386
8/18/21,0-4,100486,0.025,7,0
8/18/21,17-May,449891,0.111,23,0
8/18/21,18-34,1378225,0.339,951,0.015
8/18/21,35-49,966203,0.237,3549,0.055
8/18/21,50-59,549619,0.135,6956,0.108
8/18/21,60-64,206123,0.051,5959,0.093
8/18/21,65-69,141695,0.035,6887,0.107
8/18/21,70-74,98180,0.024,7499,0.116
8/18/21,75-79,65106,0.016,7650,0.119
8/18/21,80+,112155,0.028,24894,0.387
8/11/21,0-4,97440,0.024,7,0
8/11/21,17-May,433229,0.109,23,0
8/11/21,18-34,1348761,0.339,938,0.015
8/11/21,35-49,945803,0.238,3508,0.055
8/11/21,50-59,539919,0.136,6907,0.108
8/11/21,60-64,202499,0.051,5927,0.093
8/11/21,65-69,139154,0.035,6847,0.107
8/11/21,70-74,96377,0.024,7462,0.117
8/11/21,75-79,63916,0.016,7614,0.119
8/11/21,80+,110745,0.028,24796,0.387
8/4/21,0-4,94852,0.024,7,0
8/4/21,17-May,420696,0.108,23,0
8/4/21,18-34,1319796,0.338,932,0.015
8/4/21,35-49,926899,0.238,3489,0.054
8/4/21,50-59,531177,0.136,6904,0.108
8/4/21,60-64,199351,0.051,5921,0.092
8/4/21,65-69,136874,0.035,6831,0.106
8/4/21,70-74,94816,0.024,7476,0.116
8/4/21,75-79,62896,0.016,7635,0.119
8/4/21,80+,109491,0.028,24980,0.389
7/28/21,0-4,92660,0.024,7,0
7/28/21,17-May,410800,0.107,21,0
7/28/21,18-34,1293902,0.338,918,0.014
7/28/21,35-49,910782,0.238,3459,0.054
7/28/21,50-59,523743,0.137,6848,0.107
7/28/21,60-64,196592,0.051,5886,0.092
7/28/21,65-69,135052,0.035,6795,0.106
7/28/21,70-74,93579,0.024,7442,0.116
7/28/21,75-79,62144,0.016,7606,0.119
7/28/21,80+,108455,0.028,24901,0.39
7/21/21,0-4,91055,0.024,7,0
7/21/21,17-May,403883,0.107,21,0
7/21/21,18-34,1273281,0.337,909,0.014
7/21/21,35-49,898513,0.238,3443,0.054
7/21/21,50-59,518437,0.137,6819,0.107
7/21/21,60-64,194734,0.052,5866,0.092
7/21/21,65-69,133766,0.035,6781,0.106
7/21/21,70-74,92698,0.025,7425,0.117
7/21/21,75-79,61620,0.016,7587,0.119
7/21/21,80+,107770,0.029,24829,0.39
7/14/21,0-4,90063,0.024,7,0
7/14/21,17-May,399640,0.107,21,0
7/14/21,18-34,1258977,0.336,900,0.014
7/14/21,35-49,890523,0.238,3425,0.054
7/14/21,50-59,514946,0.138,6800,0.107
7/14/21,60-64,193541,0.052,5846,0.092
7/14/21,65-69,132976,0.036,6764,0.106
7/14/21,70-74,92140,0.025,7400,0.116
7/14/21,75-79,61295,0.016,7577,0.119
7/14/21,80+,107329,0.029,24785,0.39
7/7/21,0-4,89488,0.024,7,0
7/7/21,17-May,397087,0.107,21,0
7/7/21,18-34,1249730,0.336,887,0.014
7/7/21,35-49,885702,0.238,3405,0.054
7/7/21,50-59,512807,0.138,6772,0.107
7/7/21,60-64,192801,0.052,5826,0.092
7/7/21,65-69,132498,0.036,6742,0.106
7/7/21,70-74,91849,0.025,7374,0.116
7/7/21,75-79,61092,0.016,7553,0.119
7/7/21,80+,107064,0.029,24722,0.39
6/30/21,0-4,89155,0.024,4,0
6/30/21,17-May,395713,0.107,19,0
6/30/21,18-34,1245546,0.336,877,0.014
6/30/21,35-49,883344,0.238,3383,0.054
6/30/21,50-59,511813,0.138,6735,0.107
6/30/21,60-64,192430,0.052,5812,0.092
6/30/21,65-69,132240,0.036,6730,0.107
6/30/21,70-74,91683,0.025,7348,0.116
6/30/21,75-79,60995,0.016,7537,0.119
6/30/21,80+,106929,0.029,24643,0.391
6/23/21,0-4,88994,0.024,4,0
6/23/21,17-May,394881,0.107,19,0
6/23/21,18-34,1243214,0.335,867,0.014
6/23/21,35-49,882202,0.238,3358,0.053
6/23/21,50-59,511343,0.138,6686,0.106
6/23/21,60-64,192257,0.052,5788,0.092
6/23/21,65-69,132125,0.036,6706,0.107
6/23/21,70-74,91602,0.025,7316,0.116
6/23/21,75-79,60963,0.016,7502,0.119
6/23/21,80+,106962,0.029,24569,0.391
6/16/21,0-4,88765,0.024,4,0
6/16/21,17-May,393898,0.106,19,0
6/16/21,18-34,1240558,0.335,865,0.014
6/16/21,35-49,880474,0.238,3342,0.053
6/16/21,50-59,510465,0.138,6655,0.106
6/16/21,60-64,191964,0.052,5764,0.092
6/16/21,65-69,131906,0.036,6668,0.107
6/16/21,70-74,91452,0.025,7288,0.116
6/16/21,75-79,60866,0.016,7476,0.119
6/16/21,80+,106821,0.029,24477,0.391
6/9/21,0-4,88562,0.024,4,0
6/9/21,17-May,393014,0.106,19,0
6/9/21,18-34,1238419,0.335,867,0.014
6/9/21,35-49,879061,0.238,3337,0.053
6/9/21,50-59,509773,0.138,6629,0.106
6/9/21,60-64,191718,0.052,5755,0.092
6/9/21,65-69,131741,0.036,6649,0.106
6/9/21,70-74,91311,0.025,7292,0.117
6/9/21,75-79,60766,0.016,7465,0.119
6/9/21,80+,106704,0.029,24513,0.392
6/2/21,0-4,88342,0.024,4,0
6/2/21,17-May,392044,0.106,19,0
6/2/21,18-34,1236161,0.335,860,0.014
6/2/21,35-49,877504,0.238,3316,0.053
6/2/21,50-59,508987,0.138,6587,0.106
6/2/21,60-64,191442,0.052,5705,0.092
6/2/21,65-69,131511,0.036,6615,0.107
6/2/21,70-74,91175,0.025,7243,0.117
6/2/21,75-79,60688,0.016,7411,0.119
6/2/21,80+,106536,0.029,24324,0.392
5/26/21,0-4,88089,0.024,4,0
5/26/21,17-May,390846,0.106,19,0
5/26/21,18-34,1233081,0.335,857,0.014
5/26/21,35-49,875563,0.238,3303,0.053
5/26/21,50-59,507809,0.138,6556,0.106
5/26/21,60-64,190925,0.052,5683,0.092
5/26/21,65-69,131116,0.036,6579,0.106
5/26/21,70-74,90862,0.025,7203,0.116
5/26/21,75-79,60483,0.016,7393,0.12
5/26/21,80+,106155,0.029,24250,0.392
5/19/21,0-4,87812,0.024,4,0
5/19/21,17-May,389576,0.106,19,0
5/19/21,18-34,1230186,0.335,850,0.014
5/19/21,35-49,873622,0.238,3273,0.053
5/19/21,50-59,506944,0.138,6525,0.106
5/19/21,60-64,190539,0.052,5661,0.092
5/19/21,65-69,130862,0.036,6548,0.106
5/19/21,70-74,90680,0.025,7175,0.116
5/19/21,75-79,60379,0.016,7368,0.12
5/19/21,80+,105926,0.029,24172,0.392
5/12/21,0-4,87549,0.024,3,0
5/12/21,17-May,388070,0.106,18,0
5/12/21,18-34,1227033,0.335,847,0.014
5/12/21,35-49,871543,0.238,3251,0.053
5/12/21,50-59,505927,0.138,6503,0.106
5/12/21,60-64,190141,0.052,5634,0.092
5/12/21,65-69,130549,0.036,6523,0.106
5/12/21,70-74,90509,0.025,7144,0.116
5/12/21,75-79,60267,0.016,7337,0.12
5/12/21,80+,105740,0.029,24082,0.393
5/5/21,0-4,87215,0.024,3,0
5/5/21,17-May,386330,0.106,18,0
5/5/21,18-34,1222951,0.335,828,0.014
5/5/21,35-49,868957,0.238,3224,0.053
5/5/21,50-59,504723,0.138,6453,0.106
5/5/21,60-64,189654,0.052,5597,0.092
5/5/21,65-69,130238,0.036,6467,0.106
5/5/21,70-74,90275,0.025,7094,0.116
5/5/21,75-79,60125,0.016,7275,0.119
5/5/21,80+,105482,0.029,23959,0.393
4/28/21,0-4,86979,0.024,2,0
4/28/21,17-May,384374,0.106,17,0
4/28/21,18-34,1218612,0.335,818,0.014
4/28/21,35-49,866263,0.238,3195,0.053
4/28/21,50-59,503419,0.138,6392,0.106
4/28/21,60-64,189132,0.052,5547,0.092
4/28/21,65-69,129932,0.036,6408,0.106
4/28/21,70-74,90050,0.025,7032,0.116
4/28/21,75-79,59958,0.016,7206,0.119
4/28/21,80+,105251,0.029,23737,0.393
4/21/21,0-4,86610,0.024,2,0
4/21/21,17-May,382437,0.106,17,0
4/21/21,18-34,1214419,0.335,816,0.014
4/21/21,35-49,863689,0.238,3177,0.053
4/21/21,50-59,502187,0.139,6345,0.106
4/21/21,60-64,188721,0.052,5508,0.092
4/21/21,65-69,129685,0.036,6373,0.106
4/21/21,70-74,89878,0.025,6986,0.116
4/21/21,75-79,59852,0.017,7163,0.119
4/21/21,80+,105092,0.029,23597,0.393
4/14/21,0-4,86146,0.024,2,0
4/14/21,17-May,380077,0.105,17,0
4/14/21,18-34,1208667,0.335,810,0.014
4/14/21,35-49,860055,0.238,3151,0.053
4/14/21,50-59,500284,0.139,6293,0.106
4/14/21,60-64,187996,0.052,5464,0.092
4/14/21,65-69,129304,0.036,6317,0.106
4/14/21,70-74,89637,0.025,6926,0.116
4/14/21,75-79,59683,0.017,7111,0.119
4/14/21,80+,104809,0.029,23409,0.393
4/7/21,0-4,85619,0.024,2,0
4/7/21,17-May,377367,0.105,16,0
4/7/21,18-34,1200658,0.335,799,0.014
4/7/21,35-49,855457,0.238,3116,0.053
4/7/21,50-59,497797,0.139,6192,0.105
4/7/21,60-64,187027,0.052,5396,0.092
4/7/21,65-69,128772,0.036,6238,0.106
4/7/21,70-74,89307,0.025,6837,0.116
4/7/21,75-79,59467,0.017,7040,0.12
4/7/21,80+,104491,0.029,23144,0.394
3/31/21,0-4,85201,0.024,1,0
3/31/21,17-May,375341,0.105,15,0
3/31/21,18-34,1194045,0.334,794,0.014
3/31/21,35-49,851474,0.238,3074,0.053
3/31/21,50-59,495593,0.139,6089,0.105
3/31/21,60-64,186130,0.052,5330,0.092
3/31/21,65-69,128329,0.036,6147,0.106
3/31/21,70-74,88943,0.025,6750,0.116
3/31/21,75-79,59263,0.017,6954,0.12
3/31/21,80+,104153,0.029,22928,0.395
3/24/21,0-4,84729,0.024,1,0
3/24/21,17-May,373052,0.105,15,0
3/24/21,18-34,1187703,0.334,780,0.014
3/24/21,35-49,847670,0.239,3021,0.053
3/24/21,50-59,493416,0.139,5958,0.104
3/24/21,60-64,185272,0.052,5234,0.092
3/24/21,65-69,127828,0.036,6039,0.106
3/24/21,70-74,88604,0.025,6618,0.116
3/24/21,75-79,59046,0.017,6818,0.119
3/24/21,80+,103802,0.029,22599,0.396
3/17/21,0-4,84286,0.024,1,0
3/17/21,17-May,370833,0.105,14,0
3/17/21,18-34,1181513,0.334,763,0.014
3/17/21,35-49,843687,0.239,2952,0.053
3/17/21,50-59,490976,0.139,5776,0.104
3/17/21,60-64,184337,0.052,5115,0.092
3/17/21,65-69,127297,0.036,5909,0.106
3/17/21,70-74,88219,0.025,6458,0.116
3/17/21,75-79,58799,0.017,6660,0.119
3/17/21,80+,103403,0.029,22140,0.397
3/10/21,0-4,83818,0.024,1,0
3/10/21,17-May,368625,0.105,13,0
3/10/21,18-34,1175329,0.334,744,0.014
3/10/21,35-49,839387,0.239,2876,0.053
3/10/21,50-59,488553,0.139,5607,0.103
3/10/21,60-64,183241,0.052,4986,0.091
3/10/21,65-69,126679,0.036,5789,0.106
3/10/21,70-74,87708,0.025,6317,0.116
3/10/21,75-79,58476,0.017,6521,0.119
3/10/21,80+,102873,0.029,21727,0.398
3/3/21,0-4,83117,0.024,1,0
3/3/21,17-May,365536,0.105,13,0
3/3/21,18-34,1165921,0.334,728,0.014
3/3/21,35-49,832859,0.239,2787,0.053
3/3/21,50-59,484695,0.139,5434,0.103
3/3/21,60-64,181637,0.052,4798,0.091
3/3/21,65-69,125687,0.036,5582,0.106
3/3/21,70-74,86962,0.025,6072,0.115
3/3/21,75-79,57952,0.017,6304,0.119
3/3/21,80+,101953,0.029,21098,0.399
2/24/21,0-4,82371,0.024,1,0
2/24/21,17-May,362176,0.105,13,0
2/24/21,18-34,1157067,0.334,704,0.014
2/24/21,35-49,826481,0.239,2673,0.053
2/24/21,50-59,480749,0.139,5169,0.102
2/24/21,60-64,180036,0.052,4572,0.09
2/24/21,65-69,124601,0.036,5357,0.106
2/24/21,70-74,86230,0.025,5786,0.114
2/24/21,75-79,57425,0.017,6047,0.119
2/24/21,80+,101057,0.029,20320,0.401
2/17/21,0-4,81445,0.024,1,0
2/17/21,17-May,357731,0.105,13,0
2/17/21,18-34,1144986,0.335,650,0.014
2/17/21,35-49,817518,0.239,2507,0.053
2/17/21,50-59,475310,0.139,4821,0.101
2/17/21,60-64,177823,0.052,4268,0.09
2/17/21,65-69,123135,0.036,4979,0.105
2/17/21,70-74,85119,0.025,5430,0.114
2/17/21,75-79,56728,0.017,5680,0.119
2/17/21,80+,99799,0.029,19180,0.403
2/10/21,0-4,80118,0.024,1,0
2/10/21,17-May,351686,0.104,12,0
2/10/21,18-34,1129585,0.335,616,0.014
2/10/21,35-49,806234,0.239,2405,0.053
2/10/21,50-59,468383,0.139,4549,0.101
2/10/21,60-64,174961,0.052,3988,0.089
2/10/21,65-69,121162,0.036,4682,0.104
2/10/21,70-74,83667,0.025,5136,0.114
2/10/21,75-79,55750,0.017,5377,0.12
2/10/21,80+,97906,0.029,18214,0.405
2/3/21,0-4,77927,0.024,1,0
2/3/21,17-May,342286,0.104,11,0
2/3/21,18-34,1105822,0.336,581,0.014
2/3/21,35-49,789012,0.239,2221,0.053
2/3/21,50-59,457630,0.139,4213,0.101
2/3/21,60-64,170596,0.052,3636,0.087
2/3/21,65-69,118114,0.036,4282,0.103
2/3/21,70-74,81310,0.025,4735,0.114
2/3/21,75-79,54295,0.016,4938,0.119
2/3/21,80+,95320,0.029,17007,0.408
1/27/21,0-4,75046,0.024,1,0
1/27/21,17-May,329585,0.103,8,0
1/27/21,18-34,1072692,0.337,532,0.014
1/27/21,35-49,764563,0.24,1991,0.052
1/27/21,50-59,442335,0.139,3847,0.101
1/27/21,60-64,164444,0.052,3267,0.086
1/27/21,65-69,113757,0.036,3898,0.102
1/27/21,70-74,78177,0.025,4319,0.113
1/27/21,75-79,52204,0.016,4470,0.117
1/27/21,80+,91715,0.029,15728,0.413
1/20/21,0-4,71209,0.023,1,0
1/20/21,17-May,312198,0.103,6,0
1/20/21,18-34,1026850,0.338,495,0.014
1/20/21,35-49,730692,0.24,1803,0.052
1/20/21,50-59,421602,0.139,3476,0.101
1/20/21,60-64,156144,0.051,2904,0.085
1/20/21,65-69,107918,0.036,3498,0.102
1/20/21,70-74,74078,0.024,3867,0.113
1/20/21,75-79,49500,0.016,4026,0.117
1/20/21,80+,86863,0.029,14262,0.415
1/13/21,0-4,65225,0.023,1,0
1/13/21,17-May,284893,0.101,5,0
1/13/21,18-34,957091,0.34,456,0.015
1/13/21,35-49,680031,0.241,1656,0.053
1/13/21,50-59,390388,0.139,3149,0.101
1/13/21,60-64,143966,0.051,2601,0.083
1/13/21,65-69,99525,0.035,3191,0.102
1/13/21,70-74,68062,0.024,3496,0.112
1/13/21,75-79,45540,0.016,3647,0.117
1/13/21,80+,80371,0.029,13013,0.417
1/6/21,0-4,58329,0.023,1,0
1/6/21,17-May,249523,0.098,5,0
1/6/21,18-34,858312,0.341,418,0.015
1/6/21,35-49,610348,0.242,1487,0.053
1/6/21,50-59,349530,0.139,2815,0.101
1/6/21,60-64,128458,0.051,2345,0.084
1/6/21,65-69,88781,0.035,2830,0.102
1/6/21,70-74,60722,0.024,3108,0.112
1/6/21,75-79,40676,0.016,3237,0.116
1/6/21,80+,72226,0.029,11559,0.416
1/5/21,0-4,57571,0.023,1,0
1/5/21,17-May,245678,0.098,5,0
1/5/21,18-34,846636,0.341,410,0.015
1/5/21,35-49,601705,0.242,1459,0.054
1/5/21,50-59,344529,0.139,2762,0.102
1/5/21,60-64,126528,0.051,2297,0.0854
1/5/21,65-69,87312,0.035,2779,0.101
1/5/21,70-74,59699,0.024,3036,0.112
1/5/21,75-79,39991,0.016,3162,0.116
1/5/21,80+,70994,0.029,11307,0.416
12/29/20,0-4,51585,0.023,1,0
12/29/20,17-May,216536,0.098,5,0
12/29/20,18-34,759697,0.342,375,0.015
12/29/20,35-49,538667,0.243,1347,0.054
12/29/20,50-59,307736,0.139,2542,0.103
