date,age,confirmed_cases_total,confirmed_cases_percent,deaths_total,deaths_percent
12/29/20,60-64,112746,0.051,2092,0.085
12/29/20,65-69,77631,0.035,2506,0.101
12/29/20,70-74,53178,0.024,2755,0.111
12/29/20,75-79,35512,0.016,2855,0.115
12/29/20,80+,63335,0.029,10256,0.415
12/28/20,0-4,50913,0.023,1,0
12/28/20,17-May,213329,0.098,4,0
12/28/20,18-34,749757,0.343,373,0.015
12/28/20,35-49,531190,0.243,1319,0.054
12/28/20,50-59,303287,0.139,2508,0.103
12/28/20,60-64,111049,0.051,2061,0.085
12/28/20,65-69,76468,0.035,2459,0.101
12/28/20,70-74,52351,0.024,2697,0.111
12/28/20,75-79,34966,0.016,2809,0.116
12/28/20,80+,62399,0.029,10077,0.415
12/27/20,0-4,50186,0.023,1,0
12/27/20,17-May,210119,0.096,3,0
12/27/20,18-34,740016,0.343,369,0.016
12/27/20,35-49,523764,0.243,1313,0.055
12/27/20,50-59,298699,0.138,2496,0.103
12/27/20,60-64,109377,0.05,2050,0.085
12/27/20,65-69,75216,0.035,2449,0.101
12/27/20,70-74,51437,0.024,2687,0.112
12/27/20,75-79,34316,0.016,2786,0.115
12/27/20,80+,61337,0.028,10036,0.414
12/22/20,0-4,45408,0.023,1,0
12/22/20,17-May,188766,0.096,3,0
12/22/20,18-34,678397,0.345,361,0.016
12/22/20,35-49,478177,0.243,1260,0.055
12/22/20,50-59,271626,0.138,2377,0.103
12/22/20,60-64,98997,0.05,1970,0.085
12/22/20,65-69,67934,0.035,2339,0.101
12/22/20,70-74,46486,0.024,2580,0.112
12/22/20,75-79,31181,0.016,2648,0.115
12/22/20,80+,55737,0.028,9557,0.414
12/21/20,0-4,44577,0.023,1,0
12/21/20,17-May,184707,0.096,3,0
12/21/20,18-34,665552,0.346,356,0.016
12/21/20,35-49,468990,0.244,1247,0.055
12/21/20,50-59,265836,0.138,2350,0.103
12/21/20,60-64,96897,0.05,1946,0.085
12/21/20,65-69,66451,0.035,2313,0.101
12/21/20,70-74,45534,0.024,2537,0.111
12/21/20,75-79,30508,0.016,2618,0.115
12/21/20,80+,54624,0.028,9454,0.414
12/20/20,0-4,43781,0.023,1,0
12/20/20,17-May,181101,0.096,3,0
12/20/20,18-34,655080,0.346,351,0.015
12/20/20,35-49,461039,0.244,1237,0.054
12/20/20,50-59,261185,0.138,2344,0.103
12/20/20,60-64,95143,0.05,1934,0.085
12/20/20,65-69,65218,0.034,2305,0.101
12/20/20,70-74,44701,0.024,2524,0.111
12/20/20,75-79,29978,0.016,2601,0.115
12/20/20,80+,53796,0.028,9414,0.414
12/19/20,0-4,42845,0.023,1,0
12/19/20,17-May,176893,0.095,3,0
12/19/20,18-34,642952,0.347,349,0.015
12/19/20,35-49,451860,0.244,1232,0.055
12/19/20,50-59,255860,0.138,2338,0.104
12/19/20,60-64,93076,0.05,1918,0.085
12/19/20,65-69,63837,0.034,2289,0.101
12/19/20,70-74,43690,0.024,2509,0.111
12/19/20,75-79,29407,0.016,2585,0.115
12/19/20,80+,52737,0.028,9346,0.414
12/17/20,0-4,40711,0.023,1,0
12/17/20,17-May,167334,0.095,3,0
12/17/20,18-34,613417,0.348,339,0.015
12/17/20,35-49,430141,0.244,1210,0.055
12/17/20,50-59,243027,0.138,2300,0.104
12/17/20,60-64,88219,0.05,1872,0.085
12/17/20,65-69,60516,0.034,2240,0.101
12/17/20,70-74,41444,0.023,2452,0.111
12/17/20,75-79,28040,0.016,2523,0.114
12/17/20,80+,50273,0.028,9139,0.414
12/16/20,0-4,39777,0.023,1,0
12/16/20,17-May,163047,0.095,2,0
12/16/20,18-34,599957,0.348,335,0.015
12/16/20,35-49,420099,0.244,1197,0.055
12/16/20,50-59,237177,0.138,2270,0.104
12/16/20,60-64,86038,0.05,1863,0.085
12/16/20,65-69,59114,0.034,2219,0.102
12/16/20,70-74,40474,0.023,2424,0.111
12/16/20,75-79,27416,0.016,2500,0.115
12/16/20,80+,49026,0.028,9005,0.413
12/15/20,0-4,38410,0.023,1,0
12/15/20,17-May,157019,0.094,2,0
12/15/20,18-34,582309,0.348,327,0.015
12/15/20,35-49,407631,0.244,1185,0.055
12/15/20,50-59,229994,0.138,2228,0.104
12/15/20,60-64,83470,0.05,1825,0.085
12/15/20,65-69,57237,0.034,2179,0.102
12/15/20,70-74,39281,0.024,2377,0.111
12/15/20,75-79,26668,0.016,2438,0.114
12/15/20,80+,47832,0.029,8847,0.413
12/14/20,0-4,37149,0.023,1,0
12/14/20,17-May,151220,0.093,2,0
12/14/20,18-34,563912,0.349,325,0.015
12/14/20,35-49,394564,0.244,1177,0.056
12/14/20,50-59,222626,0.138,2209,0.104
12/14/20,60-64,80835,0.05,1808,0.085
12/14/20,65-69,55372,0.034,2156,0.102
12/14/20,70-74,38044,0.024,2340,0.11
12/14/20,75-79,25875,0.016,2407,0.114
12/14/20,80+,46565,0.029,8752,0.413
12/13/20,0-4,36455,0.023,1,0
12/13/20,17-May,147892,0.093,2,0
12/13/20,18-34,553520,0.349,323,0.015
12/13/20,35-49,386744,0.244,1172,0.056
12/13/20,50-59,217931,0.137,2192,0.104
12/13/20,60-64,79075,0.05,1800,0.085
12/13/20,65-69,54160,0.034,2145,0.102
12/13/20,70-74,37208,0.023,2330,0.11
12/13/20,75-79,25362,0.016,2399,0.114
12/13/20,80+,45481,0.029,8723,0.414
12/12/20,0-4,35647,0.023,1,0
12/12/20,17-May,144226,0.093,2,0
12/12/20,18-34,542388,0.35,323,0.015
12/12/20,35-49,378634,0.244,1165,0.055
12/12/20,50-59,213425,0.138,2187,0.104
12/12/20,60-64,77321,0.05,1796,0.086
12/12/20,65-69,52981,0.034,2137,0.102
12/12/20,70-74,36420,0.023,2325,0.111
12/12/20,75-79,24893,0.016,2391,0.114
12/12/20,80+,44626,0.029,8667,0.413
12/10/20,0-4,34115,0.023,1,0
12/10/20,17-May,137103,0.092,2,0
12/10/20,18-34,520039,0.35,319,0.015
12/10/20,35-49,362541,0.244,1148,0.056
12/10/20,50-59,204220,0.137,2148,0.104
12/10/20,60-64,73991,0.05,1765,0.086
12/10/20,65-69,50762,0.034,2101,0.102
12/10/20,70-74,34906,0.023,2286,0.111
12/10/20,75-79,23893,0.016,2343,0.114
12/10/20,80+,42984,0.029,8529,0.413
12/9/20,0-4,33275,0.023,0,0
12/9/20,17-May,133178,0.092,2,0
12/9/20,18-34,507929,0.35,318,0.016
12/9/20,35-49,353798,0.244,1143,0.056
12/9/20,50-59,199284,0.137,2138,0.105
12/9/20,60-64,72344,0.05,1753,0.086
12/9/20,65-69,49572,0.034,2086,0.102
12/9/20,70-74,34180,0.024,2265,0.111
12/9/20,75-79,23385,0.016,2310,0.113
12/9/20,80+,42166,0.029,8442,0.413
12/8/20,0-4,32625,0.023,0,0
12/8/20,17-May,129879,0.091,2,0
12/8/20,18-34,497862,0.35,315,0.016
12/8/20,35-49,346529,0.244,1135,0.056
12/8/20,50-59,195251,0.137,2118,0.105
12/8/20,60-64,70829,0.05,1734,0.086
12/8/20,65-69,48574,0.034,2061,0.102
12/8/20,70-74,33509,0.024,2243,0.111
12/8/20,75-79,22932,0.016,2284,0.113
12/8/20,80+,41450,0.029,8361,0.413
12/1/20,0-4,28614,0.023,0,0
12/1/20,17-May,110813,0.089,2,0
12/1/20,18-34,437389,0.351,303,0.016
12/1/20,35-49,304274,0.244,1083,0.056
12/1/20,50-59,171897,0.138,2050,0.106
12/1/20,60-64,62380,0.05,1653,0.085
12/1/20,65-69,42744,0.034,1978,0.102
12/1/20,70-74,29595,0.024,2144,0.111
12/1/20,75-79,20307,0.016,2175,0.112
12/1/20,80+,36902,0.03,7979,0.412
11/29/20,0-4,27895,0.023,0,0
11/29/20,17-May,107470,0.089,2,0
11/29/20,18-34,426023,0.351,301,0.016
11/29/20,35-49,296359,0.244,1076,0.056
11/29/20,50-59,167323,0.138,2035,0.106
11/29/20,60-64,60630,0.05,1643,0.085
11/29/20,65-69,41574,0.034,1972,0.103
11/29/20,70-74,28852,0.024,2127,0.111
11/29/20,75-79,19771,0.016,2161,0.112
11/29/20,80+,36058,0.03,7902,0.411
11/24/20,0-4,26293,0.023,0,0
11/24/20,17-May,100581,0.088,2,0
11/24/20,18-34,402410,0.352,298,0.016
11/24/20,35-49,279898,0.245,1068,0.056
11/24/20,50-59,157642,0.138,2002,0.106
11/24/20,60-64,57114,0.05,1618,0.085
11/24/20,65-69,39096,0.034,1944,0.103
11/24/20,70-74,27167,0.024,2096,0.111
11/24/20,75-79,18591,0.016,2122,0.112
11/24/20,80+,34276,0.03,7779,0.411
11/21/20,0-4,25323,0.023,0,0
11/21/20,17-May,96251,0.087,2,0
11/21/20,18-34,388056,0.352,296,0.016
11/21/20,35-49,269579,0.245,1060,0.057
11/21/20,50-59,151902,0.138,1987,0.106
11/21/20,60-64,54995,0.05,1591,0.085
11/21/20,65-69,37648,0.034,1925,0.103
11/21/20,70-74,26155,0.024,2080,0.111
11/21/20,75-79,17888,0.016,2099,0.112
11/21/20,80+,33280,0.03,7713,0.411
11/17/20,0-4,24081,0.023,0,0
11/17/20,17-May,90731,0.087,2,0
11/17/20,18-34,368842,0.352,291,0.016
11/17/20,35-49,256708,0.245,1041,0.057
11/17/20,50-59,144377,0.138,1947,0.106
11/17/20,60-64,52340,0.05,1567,0.085
11/17/20,65-69,35789,0.034,1891,0.103
11/17/20,70-74,24944,0.024,2043,0.111
11/17/20,75-79,17075,0.016,2049,0.111
11/17/20,80+,31955,0.03,7563,0.411
11/16/20,0-4,23856,0.023,0,0
11/16/20,17-May,89782,0.086,2,0
11/16/20,18-34,365295,0.352,290,0.016
11/16/20,35-49,254407,0.245,1039,0.057
11/16/20,50-59,143110,0.138,1941,0.106
11/16/20,60-64,51822,0.05,1561,0.085
11/16/20,65-69,35425,0.034,1885,0.103
11/16/20,70-74,24712,0.024,2040,0.111
11/16/20,75-79,16918,0.016,2043,0.111
11/16/20,80+,31711,0.031,7541,0.411
11/11/20,0-4,22627,0.023,0,0
11/11/20,17-May,84955,0.086,2,0
11/11/20,18-34,348637,0.352,288,0.016
11/11/20,35-49,243477,0.246,1024,0.056
11/11/20,50-59,136988,0.138,1919,0.106
11/11/20,60-64,49615,0.05,1544,0.085
11/11/20,65-69,33932,0.034,1864,0.103
11/11/20,70-74,23647,0.024,2021,0.111
11/11/20,75-79,16218,0.016,2015,0.111
11/11/20,80+,30606,0.031,7459,0.411
11/5/20,0-4,21609,0.023,0,0
11/5/20,17-May,80668,0.085,2,0
11/5/20,18-34,333931,0.351,285,0.016
11/5/20,35-49,233996,0.246,1013,0.057
11/5/20,50-59,131681,0.138,1890,0.106
11/5/20,60-64,47684,0.05,1519,0.085
11/5/20,65-69,32576,0.034,1835,0.103
11/5/20,70-74,22760,0.024,1996,0.112
11/5/20,75-79,15616,0.016,1989,0.111
11/5/20,80+,29691,0.031,7368,0.412
10/31/20,0-4,20975,0.023,0,0
10/31/20,17-May,78148,0.084,2,0
10/31/20,18-34,325312,0.351,277,0.016
10/31/20,35-49,228266,0.246,996,0.056
10/31/20,50-59,128297,0.138,1867,0.106
10/31/20,60-64,46440,0.05,1498,0.085
10/31/20,65-69,31722,0.034,1811,0.103
10/31/20,70-74,22173,0.024,1971,0.112
10/31/20,75-79,15238,0.016,1962,0.111
10/31/20,80+,29107,0.031,7276,0.412
10/29/20,0-4,20745,0.023,0,0
10/29/20,17-May,77249,0.084,2,0
10/29/20,18-34,321946,0.351,274,0.016
10/29/20,35-49,226017,0.246,984,0.056
10/29/20,50-59,126924,0.138,1854,0.106
10/29/20,60-64,45938,0.05,1495,0.085
10/29/20,65-69,31391,0.034,1795,0.102
10/29/20,70-74,21908,0.024,1959,0.112
10/29/20,75-79,15077,0.016,1948,0.111
10/29/20,80+,28871,0.031,7234,0.412
10/28/20,0-4,20633,0.023,0,0
10/28/20,17-May,76864,0.084,2,0
10/28/20,18-34,320610,0.351,275,0.016
10/28/20,35-49,225050,0.247,982,0.056
10/28/20,50-59,126358,0.138,1852,0.106
10/28/20,60-64,45736,0.05,1490,0.085
10/28/20,65-69,31227,0.034,1793,0.102
10/28/20,70-74,21808,0.024,1950,0.111
10/28/20,75-79,14993,0.016,1942,0.111
10/28/20,80+,28772,0.032,7215,0.412
10/26/20,0-4,20403,0.023,0,0
10/26/20,17-May,75957,0.084,2,0
10/26/20,18-34,317572,0.351,268,0.015
10/26/20,35-49,222959,0.247,968,0.056
10/26/20,50-59,125229,0.138,1835,0.106
10/26/20,60-64,45334,0.05,1472,0.085
10/26/20,65-69,30937,0.034,1782,0.103
10/26/20,70-74,21568,0.024,1932,0.112
10/26/20,75-79,14844,0.016,1922,0.111
10/26/20,80+,28552,0.032,7131,0.412
10/23/20,0-4,20121,0.023,0,0
10/23/20,17-May,74775,0.084,2,0
10/23/20,18-34,313753,0.351,265,0.015
10/23/20,35-49,220069,0.246,964,0.056
10/23/20,50-59,123616,0.138,1825,0.106
10/23/20,60-64,44754,0.05,1465,0.085
10/23/20,65-69,30581,0.034,1768,0.103
10/23/20,70-74,21301,0.024,1918,0.111
10/23/20,75-79,14685,0.016,1919,0.111
10/23/20,80+,28315,0.032,7104,0.412
10/14/20,0-4,19133,0.022,0,0
10/14/20,17-May,71126,0.083,2,0
10/14/20,18-34,302097,0.352,260,0.016
10/14/20,35-49,211835,0.247,937,0.056
10/14/20,50-59,118986,0.139,1769,0.106
10/14/20,60-64,42971,0.05,1411,0.085
10/14/20,65-69,29358,0.034,1710,0.103
10/14/20,70-74,20452,0.024,1850,0.111
10/14/20,75-79,14122,0.016,1860,0.112
10/14/20,80+,27427,0.032,6822,0.41
10/2/20,0-4,18076,0.022,0,0
10/2/20,17-May,67170,0.082,2,0
10/2/20,18-34,288444,0.352,252,0.016
10/2/20,35-49,202698,0.247,901,0.057
10/2/20,50-59,113664,0.139,1699,0.107
10/2/20,60-64,40955,0.05,1365,0.086
10/2/20,65-69,28114,0.034,1645,0.103
10/2/20,70-74,19552,0.024,1777,0.112
10/2/20,75-79,13475,0.016,1777,0.112
10/2/20,80+,26405,0.032,6514,0.409
10/1/20,0-4,18007,0.022,0,0
10/1/20,17-May,66864,0.082,2,0
10/1/20,18-34,287663,0.352,257,0.016
10/1/20,35-49,202183,0.247,900,0.057
10/1/20,50-59,113424,0.139,1695,0.106
10/1/20,60-64,40875,0.05,1358,0.085
10/1/20,65-69,28076,0.034,1645,0.103
10/1/20,70-74,19504,0.024,1770,0.111
10/1/20,75-79,13453,0.016,1773,0.111
10/1/20,80+,26338,0.032,6518,0.409
9/29/20,0-4,17836,0.022,0,0
9/29/20,17-May,66228,0.082,2,0
9/29/20,18-34,285377,0.352,252,0.016
9/29/20,35-49,200613,0.247,884,0.056
9/29/20,50-59,112479,0.139,1656,0.106
9/29/20,60-64,40551,0.05,1337,0.085
9/29/20,65-69,27824,0.034,1608,0.103
9/29/20,70-74,19333,0.024,1744,0.111
9/29/20,75-79,13344,0.016,1747,0.112
9/29/20,80+,26151,0.032,6427,0.41
9/27/20,0-4,17702,0.022,0,0
9/27/20,17-May,65705,0.082,2,0
9/27/20,18-34,283560,0.352,248,0.016
9/27/20,35-49,199301,0.247,877,0.057
9/27/20,50-59,111758,0.139,1643,0.106
9/27/20,60-64,40301,0.05,1319,0.085
9/27/20,65-69,27611,0.034,1587,0.103
9/27/20,70-74,19187,0.024,1711,0.111
9/27/20,75-79,13268,0.016,1726,0.112
9/27/20,80+,25987,0.032,6338,0.41
9/26/20,0-4,17629,0.022,0,0
9/26/20,17-May,65395,0.082,2,0
9/26/20,18-34,282574,0.352,246,0.016
9/26/20,35-49,198546,0.247,874,0.057
9/26/20,50-59,111344,0.139,1644,0.107
9/26/20,60-64,40163,0.05,1319,0.085
9/26/20,65-69,27513,0.034,1584,0.103
9/26/20,70-74,19140,0.024,1708,0.111
9/26/20,75-79,13219,0.016,1723,0.112
9/26/20,80+,25904,0.032,6332,0.41
9/25/20,0-4,17522,0.022,0,0
9/25/20,17-May,64963,0.081,2,0
9/25/20,18-34,281145,0.352,243,0.016
9/25/20,35-49,197556,0.247,872,0.057
9/25/20,50-59,110782,0.139,1638,0.107
9/25/20,60-64,39947,0.05,1315,0.086
9/25/20,65-69,27393,0.034,1578,0.103
9/25/20,70-74,19052,0.024,1699,0.111
9/25/20,75-79,13169,0.016,1712,0.111
9/25/20,80+,25820,0.032,6302,0.41
9/23/20,0-4,17346,0.022,0,0
9/23/20,17-May,64199,0.081,2,0
9/23/20,18-34,278465,0.352,239,0.016
9/23/20,35-49,195693,0.248,862,0.057
9/23/20,50-59,109770,0.139,1609,0.106
9/23/20,60-64,39586,0.05,1295,0.085
9/23/20,65-69,27120,0.034,1552,0.102
9/23/20,70-74,18864,0.024,1685,0.111
9/23/20,75-79,13070,0.017,1699,0.112
9/23/20,80+,25605,0.032,6211,0.41
9/22/20,0-4,17274,0.022,0,0
9/22/20,17-May,63903,0.081,2,0
9/22/20,18-34,277363,0.352,237,0.016
9/22/20,35-49,194937,0.248,859,0.057
9/22/20,50-59,109356,0.139,1591,0.106
9/22/20,60-64,39404,0.05,1279,0.085
9/22/20,65-69,27014,0.034,1532,0.102
9/22/20,70-74,18758,0.024,1673,0.111
9/22/20,75-79,13014,0.017,1690,0.112
9/22/20,80+,25526,0.032,6175,0.411
9/20/20,0-4,17162,0.022,0,0
9/20/20,17-May,63346,0.081,2,0
9/20/20,18-34,275401,0.352,229,0.015
9/20/20,35-49,193568,0.248,852,0.057
9/20/20,50-59,108534,0.139,1579,0.106
9/20/20,60-64,39090,0.05,1264,0.085
9/20/20,65-69,26823,0.034,1515,0.102
9/20/20,70-74,18602,0.024,1655,0.111
9/20/20,75-79,12918,0.017,1668,0.112
9/20/20,80+,25340,0.032,6109,0.411
9/17/20,0-4,16825,0.022,0,0
9/17/20,17-May,62121,0.081,3,0
9/17/20,18-34,271302,0.352,221,0.015
9/17/20,35-49,190701,0.248,830,0.057
9/17/20,50-59,106919,0.139,1539,0.105
9/17/20,60-64,38520,0.05,1244,0.085
9/17/20,65-69,26460,0.034,1483,0.101
9/17/20,70-74,18332,0.024,1638,0.112
9/17/20,75-79,12719,0.017,1645,0.112
9/17/20,80+,25010,0.032,6024,0.412
9/15/20,0-4,16657,0.022,0,0
9/15/20,17-May,61535,0.081,3,0
9/15/20,18-34,268879,0.352,216,0.015
9/15/20,35-49,189040,0.248,814,0.056
9/15/20,50-59,105917,0.139,1520,0.105
9/15/20,60-64,38199,0.05,1222,0.085
9/15/20,65-69,26250,0.034,1475,0.102
9/15/20,70-74,18173,0.024,1610,0.112
9/15/20,75-79,12624,0.017,1622,0.113
9/15/20,80+,24775,0.032,5928,0.411
9/13/20,0-4,16544,0.022,0,0
9/13/20,17-May,61016,0.081,3,0
9/13/20,18-34,266983,0.352,215,0.015
9/13/20,35-49,187828,0.248,808,0.057
9/13/20,50-59,105210,0.139,1493,0.105
9/13/20,60-64,37943,0.05,1200,0.084
9/13/20,65-69,26078,0.034,1455,0.102
9/13/20,70-74,18062,0.024,1593,0.112
9/13/20,75-79,12547,0.017,1599,0.113
9/13/20,80+,24646,0.033,5844,0.411
9/11/20,0-4,16347,0.022,0,0
9/11/20,17-May,60246,0.08,3,0
9/11/20,18-34,264264,0.352,212,0.015
9/11/20,35-49,186077,0.248,798,0.057
9/11/20,50-59,104208,0.139,1487,0.106
9/11/20,60-64,37590,0.05,1184,0.084
9/11/20,65-69,25848,0.034,1439,0.102
9/11/20,70-74,17909,0.024,1575,0.112
9/11/20,75-79,12437,0.017,1584,0.112
9/11/20,80+,24436,0.033,5798,0.412
9/9/20,0-4,16162,0.022,0,0
9/9/20,17-May,59607,0.08,3,0
9/9/20,18-34,261566,0.352,210,0.015
9/9/20,35-49,184334,0.248,790,0.057
9/9/20,50-59,103257,0.139,1453,0.105
9/9/20,60-64,37231,0.05,1163,0.084
9/9/20,65-69,25993,0.035,1415,0.102
9/9/20,70-74,17713,0.024,1548,0.112
9/9/20,75-79,12313,0.017,1552,0.112
9/9/20,80+,24184,0.033,5711,0.412
9/8/20,0-4,16059,0.022,0,0
9/8/20,17-May,59323,0.08,3,0
9/8/20,18-34,260323,0.352,207,0.015
9/8/20,35-49,183583,0.248,783,0.057
9/8/20,50-59,102823,0.139,1436,0.105
9/8/20,60-64,37043,0.05,1142,0.083
9/8/20,65-69,25498,0.035,1401,0.102
9/8/20,70-74,17632,0.024,1534,0.112
9/8/20,75-79,12258,0.017,1547,0.113
9/8/20,80+,24088,0.033,5672,0.413
9/6/20,0-4,15950,0.022,0,0
9/6/20,17-May,58936,0.08,3,0
9/6/20,18-34,258736,0.352,204,0.015
9/6/20,35-49,182600,0.248,779,0.057
9/6/20,50-59,102221,0.139,1419,0.104
9/6/20,60-64,36846,0.05,1124,0.083
9/6/20,65-69,25366,0.035,1387,0.102
9/6/20,70-74,17536,0.024,1528,0.112
9/6/20,75-79,12205,0.017,1539,0.113
9/6/20,80+,23939,0.033,5611,0.413
9/5/20,0-4,15860,0.022,0,0
9/5/20,17-May,58630,0.08,3,0
9/5/20,18-34,257605,0.352,207,0.015
9/5/20,35-49,181905,0.248,779,0.057
9/5/20,50-59,101790,0.139,1412,0.104
9/5/20,60-64,36706,0.05,1124,0.083
9/5/20,65-69,25275,0.035,1385,0.102
9/5/20,70-74,17458,0.024,1528,0.112
9/5/20,75-79,12147,0.017,1541,0.113
9/5/20,80+,23860,0.033,5611,0.413
8/30/20,0-4,15137,0.021,0,0
8/30/20,17-May,56087,0.08,3,0
8/30/20,18-34,247525,0.352,189,0.015
8/30/20,35-49,175166,0.249,731,0.057
8/30/20,50-59,98130,0.139,1313,0.103
8/30/20,60-64,35403,0.05,1038,0.081
8/30/20,65-69,24336,0.035,1293,0.101
8/30/20,70-74,16809,0.024,1449,0.114
8/30/20,75-79,11671,0.017,1451,0.114
8/30/20,80+,22913,0.033,5288,0.415
8/29/20,0-4,15033,0.021,0,0
8/29/20,17-May,55644,0.08,3,0
8/29/20,18-34,246091,0.352,191,0.015
8/29/20,35-49,174140,0.249,731,0.057
8/29/20,50-59,97582,0.139,1311,0.103
8/29/20,60-64,35224,0.05,1037,0.081
8/29/20,65-69,24195,0.035,1293,0.101
8/29/20,70-74,16709,0.024,1447,0.114
8/29/20,75-79,11605,0.017,1448,0.114
8/29/20,80+,22775,0.033,5282,0.414
8/28/20,0-4,14890,0.021,0,0
8/28/20,17-May,55074,0.079,3,0
8/28/20,18-34,243927,0.352,186,0.015
8/28/20,35-49,172688,0.249,721,0.057
8/28/20,50-59,96734,0.139,1293,0.103
8/28/20,60-64,34960,0.05,1024,0.081
8/28/20,65-69,23996,0.035,1266,0.101
8/28/20,70-74,16596,0.024,1431,0.114
8/28/20,75-79,11496,0.017,1429,0.114
8/28/20,80+,22577,0.033,5213,0.415
8/27/20,0-4,14753,0.021,0,0
8/27/20,17-May,54616,0.079,4,0
8/27/20,18-34,242201,0.352,182,0.015
8/27/20,35-49,171563,0.249,719,0.058
8/27/20,50-59,95989,0.139,1285,0.103
8/27/20,60-64,34712,0.05,1016,0.082
8/27/20,65-69,23835,0.035,1253,0.101
8/27/20,70-74,16466,0.024,1426,0.114
8/27/20,75-79,11431,0.017,1424,0.114
8/27/20,80+,22392,0.033,5149,0.413
8/26/20,0-4,14598,0.021,0,0
8/26/20,17-May,54133,0.079,3,0
8/26/20,18-34,240386,0.352,181,0.015
8/26/20,35-49,170282,0.249,707,0.057
8/26/20,50-59,95248,0.139,1264,0.103
8/26/20,60-64,34484,0.05,1002,0.081
8/26/20,65-69,23648,0.035,1235,0.1
8/26/20,70-74,16307,0.024,1408,0.115
8/26/20,75-79,11334,0.017,1404,0.114
8/26/20,80+,22200,0.032,5088,0.414
8/25/20,0-4,14473,0.021,0,0
8/25/20,17-May,53690,0.079,3,0
8/25/20,18-34,238798,0.352,179,0.015
8/25/20,35-49,169302,0.249,698,0.057
8/25/20,50-59,94635,0.139,1250,0.103
8/25/20,60-64,34294,0.05,997,0.082
8/25/20,65-69,23499,0.035,1224,0.101
8/25/20,70-74,16198,0.024,1393,0.115
8/25/20,75-79,11237,0.017,1388,0.114
8/25/20,80+,22054,0.032,5022,0.413
8/24/20,0-4,14323,0.021,0,0
8/24/20,17-May,53139,0.079,2,0
8/24/20,18-34,236660,0.352,179,0.015
8/24/20,35-49,167839,0.249,692,0.058
8/24/20,50-59,93848,0.139,1230,0.102
8/24/20,60-64,33999,0.051,983,0.082
8/24/20,65-69,23270,0.035,1204,0.1
8/24/20,70-74,16064,0.024,1367,0.114
8/24/20,75-79,11141,0.017,1368,0.114
8/24/20,80+,21883,0.033,4975,0.414
8/23/20,0-4,14190,0.021,0,0
8/23/20,17-May,52638,0.079,2,0
8/23/20,18-34,235163,0.352,177,0.015
8/23/20,35-49,166797,0.249,691,0.058
8/23/20,50-59,93218,0.139,1229,0.103
8/23/20,60-64,33780,0.051,980,0.082
8/23/20,65-69,23119,0.035,1199,0.1
8/23/20,70-74,15977,0.024,1362,0.114
8/23/20,75-79,11079,0.017,1362,0.114
8/23/20,80+,21726,0.032,4950,0.414
8/21/20,0-4,14059,0.021,0,0
8/21/20,17-May,52145,0.079,2,0
8/21/20,18-34,233463,0.352,178,0.015
8/21/20,35-49,165597,0.25,688,0.058
8/21/20,50-59,92513,0.139,1226,0.103
8/21/20,60-64,33528,0.051,978,0.082
8/21/20,65-69,22966,0.035,1198,0.1
8/21/20,70-74,15878,0.024,1363,0.114
8/21/20,75-79,11006,0.017,1362,0.114
8/21/20,80+,21605,0.033,4947,0.414
8/20/20,0-4,13716,0.021,0,0
8/20/20,17-May,50857,0.078,2,0
8/20/20,18-34,228955,0.352,169,0.015
8/20/20,35-49,162366,0.25,673,0.058
8/20/20,50-59,90721,0.139,1186,0.102
8/20/20,60-64,32870,0.051,956,0.082
8/20/20,65-69,22500,0.035,1145,0.099
8/20/20,70-74,15582,0.024,1321,0.114
8/20/20,75-79,10764,0.017,1323,0.114
8/20/20,80+,21111,0.032,4812,0.415
8/19/20,0-4,13578,0.021,0,0
8/19/20,17-May,50331,0.078,1,0
8/19/20,18-34,227044,0.352,167,0.015
8/19/20,35-49,160990,0.25,666,0.058
8/19/20,50-59,89952,0.14,1171,0.102
8/19/20,60-64,32602,0.051,941,0.082
8/19/20,65-69,22309,0.035,1138,0.099
8/19/20,70-74,15461,0.024,1312,0.114
8/19/20,75-79,10672,0.017,1306,0.114
8/19/20,80+,20938,0.032,4761,0.415
8/18/20,0-4,13392,0.021,0,0
8/18/20,17-May,49726,0.078,1,0
8/18/20,18-34,225012,0.352,163,0.014
8/18/20,35-49,159512,0.25,649,0.057
8/18/20,50-59,89201,0.14,1156,0.102
8/18/20,60-64,32320,0.051,928,0.082
8/18/20,65-69,22119,0.035,1122,0.099
8/18/20,70-74,15343,0.024,1296,0.115
8/18/20,75-79,10587,0.017,1290,0.114
8/18/20,80+,20757,0.032,4693,0.415
8/17/20,0-4,13195,0.021,0,0
8/17/20,17-May,49038,0.078,1,0
8/17/20,18-34,222911,0.352,165,0.015
8/17/20,35-49,158012,0.25,640,0.057
8/17/20,50-59,88414,0.14,1138,0.102
8/17/20,60-64,32026,0.051,909,0.082
8/17/20,65-69,21921,0.035,1106,0.099
8/17/20,70-74,15223,0.024,1275,0.114
8/17/20,75-79,10504,0.017,1265,0.114
8/17/20,80+,20563,0.033,4642,0.417
8/16/20,0-4,13050,0.021,0,0
8/16/20,17-May,48488,0.077,1,0
8/16/20,18-34,221337,0.352,161,0.014
8/16/20,35-49,156849,0.25,639,0.057
8/16/20,50-59,87818,0.14,1135,0.102
8/16/20,60-64,31811,0.051,906,0.082
8/16/20,65-69,21779,0.035,1102,0.099
8/16/20,70-74,15135,0.024,1274,0.115
